@relation 'snake_game-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement-weka.filters.unsupervised.instance.Resample-S1-Z80.0-no-replacement-weka.filters.unsupervised.instance.Resample-S1-Z80.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R6,8,18-19-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute Head_x numeric
@attribute Head_y numeric
@attribute Food_x numeric
@attribute Food_y numeric
@attribute Score numeric
@attribute Dist_right_border numeric
@attribute Dist_bottom_border numeric
@attribute Dist_body_x1 numeric
@attribute Dist_body_y1 numeric
@attribute Dist_body_x2 numeric
@attribute Dist_body_y2 numeric
@attribute Tail_x numeric
@attribute Tail_y numeric
@attribute Horizontal_weight numeric
@attribute Vertical_weight numeric
@attribute direction {UP,DOWN,LEFT,RIGHT}

@data
0.06383,0.765957,0.804348,0.76087,0.525483,0.93617,0.234043,0.5,1,0.5,1,0.06383,0.12766,0.5,0.990986,DOWN
0.361702,0.404255,0.304348,0.456522,0.324429,0.638298,0.595745,0.5,1,0.5,1,0.276596,0.510638,0.161691,0.711366,DOWN
0.851064,0.340426,0.869565,0.152174,0.404569,0.148936,0.659574,0.5,0,0.5,0,0.829787,0.808511,0.246269,0.01368,UP
0.425532,0.93617,0.695652,0.608696,0.427417,0.574468,0.06383,1,0.5,1,0.5,0.361702,0.702128,0.007915,0.807466,RIGHT
0.297872,0.531915,1,0.565217,0.111424,0.702128,0.468085,0.5,1,0.5,1,0.276596,0.425532,0.427505,0.934867,DOWN
0.829787,0.382979,0.304348,1,0.135677,0.170213,0.617021,0.5,1,0.5,1,0.829787,0.276596,0.5,0.922786,DOWN
0.212766,0.425532,0.130435,0.282609,0.225308,0.787234,0.574468,0.5,0,0.5,0,0.297872,0.617021,0.644989,0.028782,UP
0.659574,0.085106,0.804348,0.065217,0.134974,0.340426,0.914894,1,0.5,1,0.5,0.510638,0.085106,0.05597,0.499946,RIGHT
0.553191,0.893617,0.130435,0.23913,0.186643,0.446809,0.106383,0,0.5,0,0.5,0.744681,0.893617,0.956716,0.499946,LEFT
0.574468,0.914894,0.804348,0.152174,0.472759,0.425532,0.085106,0.5,1,0.5,1,0.638298,0.446809,0.67566,0.987838,DOWN
0.297872,0.638298,0.26087,0.673913,0.111775,0.702128,0.361702,0.5,0,0.5,0,0.297872,0.808511,0.5,0.048917,UP
0.744681,0.021277,0.847826,0.043478,0.397188,0.255319,0.978723,1,0.5,1,0.5,0.340426,0.085106,0.014601,0.257273,RIGHT
0.93617,0.595745,0.826087,0.391304,0.745167,0.06383,0.404255,0.5,1,0.5,1,0.659574,0.829787,0.103931,0.537074,DOWN
