@relation snake_game-weka.filters.unsupervised.attribute.Remove-R31-weka.filters.unsupervised.attribute.Standardize

@attribute Head_x numeric
@attribute Head_y numeric
@attribute Food_x numeric
@attribute Food_y numeric
@attribute Dist_Food_x numeric
@attribute Dist_Food_y numeric
@attribute Dist_left_border numeric
@attribute Dist_right_border numeric
@attribute Dist_top_border numeric
@attribute Dist_bottom_border numeric
@attribute Dist_body_x1 numeric
@attribute Dist_body_y1 numeric
@attribute Dist_body_x2 numeric
@attribute Dist_body_y2 numeric
@attribute Dist_body_x3 numeric
@attribute Dist_body_y3 numeric
@attribute Dist_body_x4 numeric
@attribute Dist_body_y4 numeric
@attribute Tail_x numeric
@attribute Tail_y numeric
@attribute Dist_Tail_x numeric
@attribute Dist_Tail_y numeric
@attribute Horizontal_Weight numeric
@attribute Vertical_Weight numeric
@attribute Score numeric
@attribute Length numeric
@attribute Prev_UP numeric
@attribute Prev_DOWN numeric
@attribute Prev_RIGHT numeric
@attribute direction {UP,DOWN,LEFT,RIGHT}

@data
1.005625,-1.477814,1.399091,0.814034,0.704159,1.665981,1.005625,-1.005625,-1.477814,1.477814,1.391164,-0.035046,1.413721,-0.035718,3.205771,3.205797,3.183429,2.107697,0.862954,-1.481838,0.172099,-0.001401,0.017928,0.007722,-1.240491,-1.255356,-0.56245,-0.600804,1.694313,RIGHT
1.088645,-1.477814,1.399091,0.814034,0.614863,1.665981,1.088645,-1.088645,-1.477814,1.477814,1.391164,-0.035046,1.413721,-0.035718,3.205771,3.205797,3.183429,2.107697,0.946605,-1.481838,0.172099,-0.001401,0.017928,0.007722,-1.241706,-1.255356,-0.56245,-0.600804,1.694313,RIGHT
1.171665,-1.477814,1.399091,0.814034,0.525568,1.665981,1.171665,-1.171665,-1.477814,1.477814,1.391164,-0.035046,1.413721,-0.035718,3.205771,3.205797,3.183429,2.107697,1.030256,-1.481838,0.172099,-0.001401,0.017928,0.007722,-1.242921,-1.255356,-0.56245,-0.600804,1.694313,RIGHT
1.254686,-1.477814,1.399091,0.814034,0.436272,1.665981,1.254686,-1.254686,-1.477814,1.477814,1.391164,-0.035046,1.413721,-0.035718,3.205771,3.205797,3.183429,2.107697,1.113907,-1.481838,0.172099,-0.001401,0.017928,0.007722,-1.244137,-1.255356,-0.56245,-0.600804,1.694313,RIGHT
1.337706,-1.477814,1.399091,0.814034,0.346976,1.665981,1.337706,-1.337706,-1.477814,1.477814,1.391164,-0.035046,1.413721,-0.035718,3.205771,3.205797,3.183429,2.107697,1.197559,-1.481838,0.172099,-0.001401,0.017928,0.007722,-1.245352,-1.255356,-0.56245,-0.600804,1.694313,RIGHT
1.420727,-1.477814,1.399091,0.814034,0.257681,1.665981,1.420727,-1.420727,-1.477814,1.477814,1.391164,-0.035046,1.413721,-0.035718,3.205771,3.205797,3.183429,2.107697,1.28121,-1.481838,0.172099,-0.001401,0.017928,0.007722,-1.246567,-1.255356,-0.56245,-0.600804,1.694313,RIGHT
1.503747,-1.477814,1.399091,0.814034,0.168385,1.665981,1.503747,-1.503747,-1.477814,1.477814,1.391164,-0.035046,1.413721,-0.035718,3.205771,3.205797,3.183429,2.107697,1.364861,-1.481838,0.172099,-0.001401,0.017928,0.007722,-1.247783,-1.255356,-0.56245,-0.600804,1.694313,RIGHT
1.586768,-1.477814,1.399091,0.814034,0.079089,1.665981,1.586768,-1.586768,-1.477814,1.477814,1.391164,-0.035046,1.413721,-0.035718,3.205771,3.205797,3.183429,2.107697,1.448512,-1.481838,0.172099,-0.001401,0.017928,0.007722,-1.248998,-1.255356,-0.56245,-0.600804,1.694313,RIGHT
1.669788,-1.477814,1.399091,0.814034,-0.010206,1.665981,1.669788,-1.669788,-1.477814,1.477814,1.391164,-0.035046,1.413721,-0.035718,3.205771,3.205797,3.183429,2.107697,1.532163,-1.481838,0.172099,-0.001401,0.017928,0.007722,-1.250213,-1.255356,-0.56245,-0.600804,1.694313,DOWN
1.669788,-1.396981,1.399091,0.814034,-0.010206,1.610562,1.669788,-1.669788,-1.396981,1.396981,-0.031663,1.372129,0.690387,0.680003,3.205771,3.205797,3.183429,2.107697,1.615815,-1.481838,0.076322,0.094649,0.017928,0.007722,-1.251429,-1.255356,-0.56245,1.664278,-0.590154,DOWN
