@relation 'snake_game-weka.filters.unsupervised.attribute.Remove-R23-weka.filters.unsupervised.attribute.Standardize-weka.filters.unsupervised.attribute.Remove-R3-4,7,9,17-18'

@attribute Head_x numeric
@attribute Head_y numeric
@attribute Dist_Food_x numeric
@attribute Dist_Food_y numeric
@attribute Dist_right_border numeric
@attribute Dist_bottom_border numeric
@attribute Dist_body_x1 numeric
@attribute Dist_body_y1 numeric
@attribute Dist_body_x2 numeric
@attribute Dist_body_y2 numeric
@attribute Dist_body_x3 numeric
@attribute Dist_body_y3 numeric
@attribute Prev_UP numeric
@attribute Prev_DOWN numeric
@attribute Prev_RIGHT numeric
@attribute direction {UP,DOWN,LEFT,RIGHT}

@data
1.819269,-1.692166,-1.461187,1.853587,-1.819269,1.692166,-0.028297,1.42769,0.674743,0.717538,3.318423,3.321718,-0.548909,1.752734,-0.610712,DOWN
1.819269,-1.614247,-1.461187,1.776018,-1.819269,1.614247,-0.028297,1.42769,-0.029072,1.455597,3.318423,3.321718,-0.548909,1.752734,-0.610712,DOWN
1.819269,-1.536327,-1.461187,1.698448,-1.819269,1.536327,-0.028297,1.42769,-0.029072,1.455597,3.318423,3.321718,-0.548909,1.752734,-0.610712,DOWN
1.819269,-1.458407,-1.461187,1.620879,-1.819269,1.458407,-0.028297,1.42769,-0.029072,1.455597,3.318423,3.321718,-0.548909,1.752734,-0.610712,DOWN
1.819269,-1.380488,-1.461187,1.543309,-1.819269,1.380488,-0.028297,1.42769,-0.029072,1.455597,3.318423,3.321718,-0.548909,1.752734,-0.610712,DOWN
1.819269,-1.302568,-1.461187,1.46574,-1.819269,1.302568,-0.028297,1.42769,-0.029072,1.455597,3.318423,3.321718,-0.548909,1.752734,-0.610712,DOWN
1.819269,-1.224648,-1.461187,1.388171,-1.819269,1.224648,-0.028297,1.42769,-0.029072,1.455597,3.318423,3.321718,-0.548909,1.752734,-0.610712,DOWN
1.819269,-1.146729,-1.461187,1.310601,-1.819269,1.146729,-0.028297,1.42769,-0.029072,1.455597,3.318423,3.321718,-0.548909,1.752734,-0.610712,DOWN
1.819269,-1.068809,-1.461187,1.233032,-1.819269,1.068809,-0.028297,1.42769,-0.029072,1.455597,3.318423,3.321718,-0.548909,1.752734,-0.610712,DOWN
1.819269,-0.990889,-1.461187,1.155462,-1.819269,0.990889,-0.028297,1.42769,-0.029072,1.455597,3.318423,3.321718,-0.548909,1.752734,-0.610712,DOWN
