@relation 'snake_game-weka.filters.unsupervised.attribute.Remove-R31-weka.filters.unsupervised.attribute.Remove-R15-18,23-26-weka.filters.unsupervised.attribute.Remove-R5-7,9,17-18-weka.filters.unsupervised.attribute.Standardize-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement'

@attribute Head_x numeric
@attribute Head_y numeric
@attribute Food_x numeric
@attribute Food_y numeric
@attribute Dist_right_border numeric
@attribute Dist_bottom_border numeric
@attribute Dist_body_x1 numeric
@attribute Dist_body_y1 numeric
@attribute Dist_body_x2 numeric
@attribute Dist_body_y2 numeric
@attribute Tail_x numeric
@attribute Tail_y numeric
@attribute Prev_UP numeric
@attribute Prev_DOWN numeric
@attribute Prev_RIGHT numeric
@attribute direction {UP,DOWN,LEFT,RIGHT}

@data
1.241159,0.772249,0.085518,-1.504244,-1.241159,-0.772249,-0.006082,-1.448132,-0.006422,-1.476495,0.986823,1.358152,1.788112,-0.578299,-0.589241,UP
0.172666,-0.43068,0.085518,-1.574699,-0.172666,0.43068,-0.006082,-1.448132,-0.006422,-1.476495,-0.812255,1.438369,1.788112,-0.578299,-0.589241,UP
-0.567061,1.413812,-0.625288,-1.222425,0.567061,-1.413812,-1.404756,-0.017751,-1.431016,-0.017869,0.414389,1.438369,-0.55919,-0.578299,-0.589241,UP
1.241159,-0.350484,1.080648,-0.517875,-1.241159,0.350484,-0.006082,-1.448132,-0.006422,-1.476495,-1.548242,0.475764,1.788112,-0.578299,-0.589241,UP
-1.717746,-0.59107,-1.478256,-0.87015,1.717746,0.59107,-0.006082,-1.448132,-0.006422,-1.476495,0.986823,1.117501,1.788112,-0.578299,-0.589241,UP
-0.97802,-0.350484,-0.83853,-1.081515,0.97802,0.350484,-0.006082,-1.448132,-0.006422,-1.476495,0.332613,-0.887927,1.788112,-0.578299,-0.589241,UP
-1.060212,-0.751461,-0.83853,-0.940605,1.060212,0.751461,-0.006082,-1.448132,-0.006422,-1.476495,0.332613,1.598803,1.788112,-0.578299,-0.589241,UP
0.254857,-0.911851,-0.767449,-1.574699,-0.254857,0.911851,-0.006082,-1.448132,-0.006422,-1.476495,0.16906,0.716415,1.788112,-0.578299,-0.589241,UP
1.241159,0.050492,0.085518,-1.504244,-1.241159,-0.050492,-0.006082,-1.448132,-0.006422,-1.476495,1.232152,0.876849,1.788112,-0.578299,-0.589241,UP
1.158968,1.012835,-0.340965,-0.30651,-1.158968,-1.012835,-0.006082,-1.448132,-0.006422,-1.476495,-0.403374,-1.850533,1.788112,-0.578299,-0.589241,UP
-1.717746,-0.59107,-1.407175,-1.222425,1.717746,0.59107,-0.006082,-1.448132,-0.006422,-1.476495,-1.548242,0.957066,1.788112,-0.578299,-0.589241,UP
-1.553363,-0.43068,1.578212,-1.433789,1.553363,0.43068,-0.006082,-1.448132,-0.006422,-1.476495,1.477481,-0.567059,1.788112,-0.578299,-0.589241,UP
0.665817,1.253421,0.156599,1.032133,-0.665817,-1.253421,-1.404756,-0.017751,-1.431016,-0.017869,0.414389,1.277935,-0.55919,-0.578299,-0.589241,UP
0.665817,0.93264,-0.198804,-0.517875,-0.665817,-0.93264,-0.006082,-1.448132,-0.006422,-1.476495,0.005508,0.074678,1.788112,-0.578299,-0.589241,UP
1.73431,0.371273,-1.122853,1.454863,-1.73431,-0.371273,-0.006082,-1.448132,-0.006422,-1.476495,1.72281,0.957066,1.788112,-0.578299,-0.589241,UP
-1.717746,-1.553413,-1.478256,-1.504244,1.717746,1.553413,-0.006082,-1.448132,-0.006422,-1.476495,1.804586,0.074678,1.788112,-0.578299,-0.589241,UP
-0.731444,1.173226,-0.412046,-0.72924,0.731444,-1.173226,-0.006082,-1.448132,-0.006422,-1.476495,-0.158045,-0.406625,1.788112,-0.578299,-0.589241,UP
-0.567061,1.333616,-0.625288,-1.222425,0.567061,-1.333616,-0.006082,-1.448132,-0.718719,-0.747182,0.332613,1.438369,1.788112,-0.578299,-0.589241,UP
1.241159,1.253421,0.085518,-1.504244,-1.241159,-1.253421,-0.006082,-1.448132,0.705875,-0.747182,0.823271,1.037284,1.788112,-0.578299,-0.589241,UP
