@relation snake_game-weka.filters.unsupervised.attribute.Remove-R29-weka.filters.unsupervised.attribute.Standardize

@attribute Head_x numeric
@attribute Head_y numeric
@attribute Food_x numeric
@attribute Food_y numeric
@attribute Dist_Food_x numeric
@attribute Dist_Food_y numeric
@attribute Dist_left_border numeric
@attribute Dist_right_border numeric
@attribute Dist_top_border numeric
@attribute Dist_bottom_border numeric
@attribute Dist_body_x1 numeric
@attribute Dist_body_y1 numeric
@attribute Dist_body_x2 numeric
@attribute Dist_body_y2 numeric
@attribute Dist_body_x3 numeric
@attribute Dist_body_y3 numeric
@attribute Dist_body_x4 numeric
@attribute Dist_body_y4 numeric
@attribute Tail_x numeric
@attribute Tail_y numeric
@attribute Dist_Tail_x numeric
@attribute Dist_Tail_y numeric
@attribute Horizontal_Weight numeric
@attribute Vertical_Weight numeric
@attribute Prev_UP numeric
@attribute Prev_DOWN numeric
@attribute Prev_RIGHT numeric
@attribute direction {UP,DOWN,LEFT,RIGHT}

@data
1.204066,-1.490383,1.091555,-1.176743,0.081973,0.093215,1.204066,-1.204066,-1.490383,1.490383,1.376646,-0.030309,1.397055,-0.030748,3.592098,3.593354,3.560673,2.144552,1.036231,-1.488025,0.197092,-0.003337,0.000256,-0.000115,-0.55169,-0.584283,1.671494,RIGHT
1.28625,-1.490383,1.091555,-1.176743,-0.01097,0.093215,1.28625,-1.28625,-1.490383,1.490383,1.376646,-0.030309,1.397055,-0.030748,3.592098,3.593354,3.560673,2.144552,1.117846,-1.488025,0.197092,-0.003337,0.000256,-0.000115,-0.55169,-0.584283,1.671494,DOWN
1.28625,-1.411152,1.091555,-1.176743,-0.01097,0.038351,1.28625,-1.28625,-1.411152,1.411152,-0.020972,1.401951,0.687574,0.697389,3.592098,3.593354,3.560673,2.144552,1.199461,-1.488025,0.096237,0.09438,0.000256,-0.000115,-0.55169,1.711335,-0.59821,DOWN
1.28625,-1.331921,1.161829,-0.695362,0.081973,0.367534,1.28625,-1.28625,-1.331921,1.331921,-0.020972,1.401951,-0.021907,1.425525,3.592098,3.593354,3.560673,2.144552,1.199461,-1.488025,0.096237,0.192097,0.000256,0.846148,-0.55169,1.711335,-0.59821,RIGHT
1.368435,-1.331921,1.161829,-0.695362,-0.01097,0.367534,1.368435,-1.368435,-1.331921,1.331921,1.376646,-0.030309,0.687574,0.697389,3.592098,3.593354,3.560673,2.144552,1.281077,-1.488025,0.096237,0.192097,-0.829307,-0.000115,-0.55169,-0.584283,1.671494,DOWN
1.368435,-1.25269,1.161829,-0.695362,-0.01097,0.31267,1.368435,-1.368435,-1.25269,1.25269,-0.020972,1.401951,0.687574,0.697389,3.592098,3.593354,3.560673,2.144552,1.281077,-1.408775,0.096237,0.192097,0.000256,0.846148,-0.55169,1.711335,-0.59821,DOWN
1.368435,-1.173459,1.161829,-0.695362,-0.01097,0.257806,1.368435,-1.368435,-1.173459,1.173459,-0.020972,1.401951,-0.021907,1.425525,3.592098,3.593354,3.560673,2.144552,1.281077,-1.329526,0.096237,0.192097,0.000256,0.846148,-0.55169,1.711335,-0.59821,DOWN
1.368435,-1.094228,1.161829,-0.695362,-0.01097,0.202942,1.368435,-1.368435,-1.094228,1.094228,-0.020972,1.401951,-0.021907,1.425525,3.592098,3.593354,3.560673,2.144552,1.362692,-1.329526,-0.004618,0.289814,0.000256,0.846148,-0.55169,1.711335,-0.59821,DOWN
1.368435,-1.014997,1.161829,-0.695362,-0.01097,0.148079,1.368435,-1.368435,-1.014997,1.014997,-0.020972,1.401951,-0.021907,1.425525,3.592098,3.593354,3.560673,2.144552,1.362692,-1.250276,-0.004618,0.289814,0.000256,0.846148,-0.55169,1.711335,-0.59821,DOWN
1.368435,-0.935766,1.161829,-0.695362,-0.01097,0.093215,1.368435,-1.368435,-0.935766,0.935766,-0.020972,1.401951,-0.021907,1.425525,3.592098,3.593354,3.560673,2.144552,1.362692,-1.171027,-0.004618,0.289814,0.000256,0.846148,-0.55169,1.711335,-0.59821,DOWN
