@relation 'snake_game-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R5-6,8,23-weka.filters.unsupervised.attribute.AddExpression-Ea1-a15-NDist_tail_x-weka.filters.unsupervised.attribute.AddExpression-Ea2-a16-NDist_tail_y-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,21,22,20-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute Head_x numeric
@attribute Head_y numeric
@attribute Food_x numeric
@attribute Food_y numeric
@attribute Dist_right_border numeric
@attribute Dist_bottom_border numeric
@attribute Dist_body_x1 numeric
@attribute Dist_body_y1 numeric
@attribute Dist_body_x2 numeric
@attribute Dist_body_y2 numeric
@attribute Dist_body_x3 numeric
@attribute Dist_body_y3 numeric
@attribute Dist_body_x4 numeric
@attribute Dist_body_y4 numeric
@attribute Tail_x numeric
@attribute Tail_y numeric
@attribute Horizontal_weight numeric
@attribute Vertical_weight numeric
@attribute Length numeric
@attribute Dist_tail_x numeric
@attribute Dist_tail_y numeric
@attribute direction {UP,DOWN,LEFT,RIGHT}

@data
0.234043,0.510638,0.76087,0.413043,0.765957,0.489362,0.5,0,0.5,0,0.056604,0,0.074074,0.588889,0.234043,0.914894,0.5,0.013121,0.435897,0.453125,0.169492,UP
0.808511,0.297872,0,0.130435,0.191489,0.702128,0.5,0,0.5,0,0.056604,0,0.055556,0.166667,0.914894,0.297872,0.841464,0.072895,0.230769,0.375,0.491525,UP
0.638298,0.404255,1,0.021739,0.361702,0.595745,0,0.5,0,0.5,1,1,1,1,0.680851,0.404255,0.841464,0.499851,0,0.421875,0.491525,UP
0.574468,0.893617,0.26087,0.913043,0.425532,0.106383,0.5,0,0.5,0,0.075472,0.018868,0.111111,0.633333,0.404255,0.93617,0.127494,0.034081,0.205128,0.578125,0.457627,UP
0.510638,0.893617,0.478261,0.478261,0.489362,0.106383,1,0.5,1,0.5,0.113208,0.056604,0.148148,0.688889,0.361702,0.680851,0.01626,0.784489,0.384615,0.5625,0.661017,UP
0.87234,0.170213,0.804348,0.152174,0.12766,0.829787,0.5,0,0.5,0,0.056604,0,0.074074,0.077778,0.87234,0.468085,0.5,0.021661,0.307692,0.453125,0.254237,UP
0.06383,0.340426,0.891304,0.347826,0.93617,0.659574,0.5,0,0.5,0,0.037736,0.018868,0.037037,0.566667,0.276596,0.382979,0.893997,0.026915,0.25641,0.296875,0.457627,UP
0.468085,0.255319,0.478261,0,0.531915,0.744681,0.5,0,0.5,0,0.056604,0,0.074074,0.333333,0.468085,0.404255,0.5,0.051547,0.128205,0.453125,0.372881,UP
0.234043,0.808511,0.76087,0.413043,0.765957,0.191489,0.5,0,0.5,0,0.056604,0,0.074074,0.744444,0.531915,0.914894,0.858537,0.013121,0.435897,0.234375,0.40678,UP
0.723404,0.042553,0.73913,0,0.276596,0.957447,0.5,0,0.5,0,0.056604,0,0.074074,0.088889,0.723404,0.12766,0.5,0.089973,0.051282,0.453125,0.423729,UP
