@relation snake_game-weka.filters.unsupervised.attribute.Remove-R23-weka.filters.unsupervised.attribute.Standardize

@attribute Head_x numeric
@attribute Head_y numeric
@attribute Food_x numeric
@attribute Food_y numeric
@attribute Dist_Food_x numeric
@attribute Dist_Food_y numeric
@attribute Dist_left_border numeric
@attribute Dist_right_border numeric
@attribute Dist_top_border numeric
@attribute Dist_bottom_border numeric
@attribute Dist_body_x1 numeric
@attribute Dist_body_y1 numeric
@attribute Dist_body_x2 numeric
@attribute Dist_body_y2 numeric
@attribute Dist_body_x3 numeric
@attribute Dist_body_y3 numeric
@attribute Dist_body_x4 numeric
@attribute Dist_body_y4 numeric
@attribute Prev_UP numeric
@attribute Prev_DOWN numeric
@attribute Prev_RIGHT numeric
@attribute direction {UP,DOWN,LEFT,RIGHT}

@data
0.347527,-1.085695,0.279413,1.541907,-0.019019,2.037314,0.347527,-0.347527,-1.085695,1.085695,-0.026522,1.393978,-0.027927,1.41899,2.953068,2.952447,2.935667,1.991237,-0.561012,1.699037,-0.594366,DOWN
0.347527,-1.00664,0.279413,1.541907,-0.019019,1.981,0.347527,-0.347527,-1.00664,1.00664,-0.026522,1.393978,-0.027927,1.41899,2.953068,2.952447,2.935667,1.991237,-0.561012,1.699037,-0.594366,DOWN
0.347527,-0.927584,0.279413,1.541907,-0.019019,1.924686,0.347527,-0.347527,-0.927584,0.927584,-0.026522,1.393978,-0.027927,1.41899,2.953068,2.952447,2.935667,1.991237,-0.561012,1.699037,-0.594366,DOWN
0.347527,-0.848529,0.279413,1.541907,-0.019019,1.868372,0.347527,-0.347527,-0.848529,0.848529,-0.026522,1.393978,-0.027927,1.41899,2.953068,2.952447,2.935667,1.991237,-0.561012,1.699037,-0.594366,DOWN
0.347527,-0.769473,0.279413,1.541907,-0.019019,1.812058,0.347527,-0.347527,-0.769473,0.769473,-0.026522,1.393978,-0.027927,1.41899,2.953068,2.952447,2.935667,1.991237,-0.561012,1.699037,-0.594366,DOWN
0.347527,-0.690418,0.279413,1.541907,-0.019019,1.755744,0.347527,-0.347527,-0.690418,0.690418,-0.026522,1.393978,-0.027927,1.41899,2.953068,2.952447,2.935667,1.991237,-0.561012,1.699037,-0.594366,DOWN
0.347527,-0.611362,0.279413,1.541907,-0.019019,1.699431,0.347527,-0.347527,-0.611362,0.611362,-0.026522,1.393978,-0.027927,1.41899,2.953068,2.952447,2.935667,1.991237,-0.561012,1.699037,-0.594366,DOWN
0.347527,-0.532307,0.279413,1.541907,-0.019019,1.643117,0.347527,-0.347527,-0.532307,0.532307,-0.026522,1.393978,-0.027927,1.41899,2.953068,2.952447,2.935667,1.991237,-0.561012,1.699037,-0.594366,DOWN
0.347527,-0.453251,0.279413,1.541907,-0.019019,1.586803,0.347527,-0.347527,-0.453251,0.453251,-0.026522,1.393978,-0.027927,1.41899,2.953068,2.952447,2.935667,1.991237,-0.561012,1.699037,-0.594366,DOWN
0.347527,-0.374196,0.279413,1.541907,-0.019019,1.530489,0.347527,-0.347527,-0.374196,0.374196,-0.026522,1.393978,-0.027927,1.41899,2.953068,2.952447,2.935667,1.991237,-0.561012,1.699037,-0.594366,DOWN
