@relation snake_game-weka.filters.unsupervised.attribute.Remove-R31-weka.filters.unsupervised.attribute.Standardize

@attribute Head_x numeric
@attribute Head_y numeric
@attribute Food_x numeric
@attribute Food_y numeric
@attribute Dist_Food_x numeric
@attribute Dist_Food_y numeric
@attribute Dist_left_border numeric
@attribute Dist_right_border numeric
@attribute Dist_top_border numeric
@attribute Dist_bottom_border numeric
@attribute Dist_body_x1 numeric
@attribute Dist_body_y1 numeric
@attribute Dist_body_x2 numeric
@attribute Dist_body_y2 numeric
@attribute Dist_body_x3 numeric
@attribute Dist_body_y3 numeric
@attribute Dist_body_x4 numeric
@attribute Dist_body_y4 numeric
@attribute Tail_x numeric
@attribute Tail_y numeric
@attribute Dist_Tail_x numeric
@attribute Dist_Tail_y numeric
@attribute Horizontal_Weight numeric
@attribute Vertical_Weight numeric
@attribute Score numeric
@attribute Length numeric
@attribute Prev_UP numeric
@attribute Prev_DOWN numeric
@attribute Prev_RIGHT numeric
@attribute direction {UP,DOWN,LEFT,RIGHT}

@data
0.316898,-1.932692,-1.703867,-1.782978,-1.96198,-0.069019,0.316898,-0.316898,-1.932692,1.932692,-1.428191,-0.023805,-1.454066,-0.024128,3.934712,3.93447,3.895569,2.247345,0.489561,-1.919943,-0.150292,-0.019589,0.011923,0.000604,-1.675059,-1.579939,-0.560386,-0.586162,-0.592926,LEFT
0.234283,-1.932692,-1.703867,-1.782978,-1.889542,-0.069019,0.234283,-0.234283,-1.932692,1.932692,-1.428191,-0.023805,-1.454066,-0.024128,3.934712,3.93447,3.895569,2.247345,0.40692,-1.919943,-0.150292,-0.019589,0.011923,0.000604,-1.676199,-1.579939,-0.560386,-0.586162,-0.592926,LEFT
0.151668,-1.932692,-1.703867,-1.782978,-1.817105,-0.069019,0.151668,-0.151668,-1.932692,1.932692,-1.428191,-0.023805,-1.454066,-0.024128,3.934712,3.93447,3.895569,2.247345,0.324278,-1.919943,-0.150292,-0.019589,0.011923,0.000604,-1.677338,-1.579939,-0.560386,-0.586162,-0.592926,LEFT
0.069053,-1.932692,-1.703867,-1.782978,-1.744668,-0.069019,0.069053,-0.069053,-1.932692,1.932692,-1.428191,-0.023805,-1.454066,-0.024128,3.934712,3.93447,3.895569,2.247345,0.241637,-1.919943,-0.150292,-0.019589,0.011923,0.000604,-1.678478,-1.579939,-0.560386,-0.586162,-0.592926,LEFT
-0.013563,-1.932692,-1.703867,-1.782978,-1.672231,-0.069019,-0.013563,0.013563,-1.932692,1.932692,-1.428191,-0.023805,-1.454066,-0.024128,3.934712,3.93447,3.895569,2.247345,0.158996,-1.919943,-0.150292,-0.019589,0.011923,0.000604,-1.679617,-1.579939,-0.560386,-0.586162,-0.592926,LEFT
-0.096178,-1.932692,-1.703867,-1.782978,-1.599794,-0.069019,-0.096178,0.096178,-1.932692,1.932692,-1.428191,-0.023805,-1.454066,-0.024128,3.934712,3.93447,3.895569,2.247345,0.076354,-1.919943,-0.150292,-0.019589,0.011923,0.000604,-1.680757,-1.579939,-0.560386,-0.586162,-0.592926,LEFT
-0.178793,-1.932692,-1.703867,-1.782978,-1.527357,-0.069019,-0.178793,0.178793,-1.932692,1.932692,-1.428191,-0.023805,-1.454066,-0.024128,3.934712,3.93447,3.895569,2.247345,-0.006287,-1.919943,-0.150292,-0.019589,0.011923,0.000604,-1.681896,-1.579939,-0.560386,-0.586162,-0.592926,LEFT
-0.261409,-1.932692,-1.703867,-1.782978,-1.45492,-0.069019,-0.261409,0.261409,-1.932692,1.932692,-1.428191,-0.023805,-1.454066,-0.024128,3.934712,3.93447,3.895569,2.247345,-0.088928,-1.919943,-0.150292,-0.019589,0.011923,0.000604,-1.683036,-1.579939,-0.560386,-0.586162,-0.592926,LEFT
-0.344024,-1.932692,-1.703867,-1.782978,-1.382483,-0.069019,-0.344024,0.344024,-1.932692,1.932692,-1.428191,-0.023805,-1.454066,-0.024128,3.934712,3.93447,3.895569,2.247345,-0.17157,-1.919943,-0.150292,-0.019589,0.011923,0.000604,-1.684175,-1.579939,-0.560386,-0.586162,-0.592926,LEFT
-0.426639,-1.932692,-1.703867,-1.782978,-1.310045,-0.069019,-0.426639,0.426639,-1.932692,1.932692,-1.428191,-0.023805,-1.454066,-0.024128,3.934712,3.93447,3.895569,2.247345,-0.254211,-1.919943,-0.150292,-0.019589,0.011923,0.000604,-1.685315,-1.579939,-0.560386,-0.586162,-0.592926,LEFT
-0.509254,-1.932692,-1.703867,-1.782978,-1.237608,-0.069019,-0.509254,0.509254,-1.932692,1.932692,-1.428191,-0.023805,-1.454066,-0.024128,3.934712,3.93447,3.895569,2.247345,-0.336852,-1.919943,-0.150292,-0.019589,0.011923,0.000604,-1.686454,-1.579939,-0.560386,-0.586162,-0.592926,LEFT
-0.59187,-1.932692,-1.703867,-1.782978,-1.165171,-0.069019,-0.59187,0.59187,-1.932692,1.932692,-1.428191,-0.023805,-1.454066,-0.024128,3.934712,3.93447,3.895569,2.247345,-0.419494,-1.919943,-0.150292,-0.019589,0.011923,0.000604,-1.687594,-1.579939,-0.560386,-0.586162,-0.592926,LEFT
-0.674485,-1.932692,-1.703867,-1.782978,-1.092734,-0.069019,-0.674485,0.674485,-1.932692,1.932692,-1.428191,-0.023805,-1.454066,-0.024128,3.934712,3.93447,3.895569,2.247345,-0.502135,-1.919943,-0.150292,-0.019589,0.011923,0.000604,-1.688733,-1.579939,-0.560386,-0.586162,-0.592926,LEFT
