@relation snake_game-weka.filters.unsupervised.attribute.Remove-R27-weka.filters.unsupervised.attribute.Standardize

@attribute Head_x numeric
@attribute Head_y numeric
@attribute Food_x numeric
@attribute Food_y numeric
@attribute Dist_Food_x numeric
@attribute Dist_Food_y numeric
@attribute Dist_left_border numeric
@attribute Dist_right_border numeric
@attribute Dist_top_border numeric
@attribute Dist_bottom_border numeric
@attribute Dist_body_x1 numeric
@attribute Dist_body_y1 numeric
@attribute Dist_body_x2 numeric
@attribute Dist_body_y2 numeric
@attribute Dist_body_x3 numeric
@attribute Dist_body_y3 numeric
@attribute Dist_body_x4 numeric
@attribute Dist_body_y4 numeric
@attribute Tail_x numeric
@attribute Tail_y numeric
@attribute Dist_Tail_x numeric
@attribute Dist_Tail_y numeric
@attribute Prev_UP numeric
@attribute Prev_DOWN numeric
@attribute Prev_RIGHT numeric
@attribute direction {UP,DOWN,LEFT,RIGHT}

@data
-0.133255,-1.412605,0.497752,-0.415888,0.824998,0.731062,-0.133255,0.133255,-1.412605,1.412605,1.36747,-0.046071,1.38988,-0.047146,2.989543,2.990173,2.971142,2.080447,-0.3086,-1.405374,0.228189,-0.025258,-0.543403,-0.59294,1.656968,RIGHT
-0.049374,-1.412605,0.497752,-0.415888,0.727543,0.731062,-0.049374,0.049374,-1.412605,1.412605,1.36747,-0.046071,1.38988,-0.047146,2.989543,2.990173,2.971142,2.080447,-0.224516,-1.405374,0.228189,-0.025258,-0.543403,-0.59294,1.656968,RIGHT
0.034508,-1.412605,0.497752,-0.415888,0.630088,0.731062,0.034508,-0.034508,-1.412605,1.412605,1.36747,-0.046071,1.38988,-0.047146,2.989543,2.990173,2.971142,2.080447,-0.140431,-1.405374,0.228189,-0.025258,-0.543403,-0.59294,1.656968,RIGHT
0.118389,-1.412605,0.497752,-0.415888,0.532633,0.731062,0.118389,-0.118389,-1.412605,1.412605,1.36747,-0.046071,1.38988,-0.047146,2.989543,2.990173,2.971142,2.080447,-0.056347,-1.405374,0.228189,-0.025258,-0.543403,-0.59294,1.656968,RIGHT
0.202271,-1.412605,0.497752,-0.415888,0.435178,0.731062,0.202271,-0.202271,-1.412605,1.412605,1.36747,-0.046071,1.38988,-0.047146,2.989543,2.990173,2.971142,2.080447,0.027737,-1.405374,0.228189,-0.025258,-0.543403,-0.59294,1.656968,RIGHT
0.286152,-1.412605,0.497752,-0.415888,0.337722,0.731062,0.286152,-0.286152,-1.412605,1.412605,1.36747,-0.046071,1.38988,-0.047146,2.989543,2.990173,2.971142,2.080447,0.111822,-1.405374,0.228189,-0.025258,-0.543403,-0.59294,1.656968,RIGHT
0.370034,-1.412605,0.497752,-0.415888,0.240267,0.731062,0.370034,-0.370034,-1.412605,1.412605,1.36747,-0.046071,1.38988,-0.047146,2.989543,2.990173,2.971142,2.080447,0.195906,-1.405374,0.228189,-0.025258,-0.543403,-0.59294,1.656968,RIGHT
0.453915,-1.412605,0.497752,-0.415888,0.142812,0.731062,0.453915,-0.453915,-1.412605,1.412605,1.36747,-0.046071,1.38988,-0.047146,2.989543,2.990173,2.971142,2.080447,0.27999,-1.405374,0.228189,-0.025258,-0.543403,-0.59294,1.656968,RIGHT
0.537797,-1.412605,0.497752,-0.415888,0.045357,0.731062,0.537797,-0.537797,-1.412605,1.412605,1.36747,-0.046071,1.38988,-0.047146,2.989543,2.990173,2.971142,2.080447,0.364075,-1.405374,0.228189,-0.025258,-0.543403,-0.59294,1.656968,RIGHT
0.621678,-1.412605,0.497752,-0.415888,-0.052098,0.731062,0.621678,-0.621678,-1.412605,1.412605,1.36747,-0.046071,1.38988,-0.047146,2.989543,2.990173,2.971142,2.080447,0.448159,-1.405374,0.228189,-0.025258,-0.543403,-0.59294,1.656968,DOWN
0.621678,-1.331667,0.497752,-0.415888,-0.052098,0.669047,0.621678,-0.621678,-1.331667,1.331667,-0.030847,1.386687,0.678754,0.68276,2.989543,2.990173,2.971142,2.080447,0.532243,-1.405374,0.118562,0.083479,-0.543403,1.686353,-0.603456,DOWN
0.621678,-1.25073,0.497752,-0.415888,-0.052098,0.607032,0.621678,-0.621678,-1.25073,1.25073,-0.030847,1.386687,-0.032372,1.412666,2.989543,2.990173,2.971142,2.080447,0.616328,-1.405374,0.008936,0.192217,-0.543403,1.686353,-0.603456,DOWN
0.621678,-1.169793,0.497752,-0.415888,-0.052098,0.545017,0.621678,-0.621678,-1.169793,1.169793,-0.030847,1.386687,-0.032372,1.412666,2.989543,2.990173,2.971142,2.080447,0.616328,-1.323765,0.008936,0.192217,-0.543403,1.686353,-0.603456,DOWN
0.621678,-1.088856,0.497752,-0.415888,-0.052098,0.483002,0.621678,-0.621678,-1.088856,1.088856,-0.030847,1.386687,-0.032372,1.412666,2.989543,2.990173,2.971142,2.080447,0.616328,-1.242156,0.008936,0.192217,-0.543403,1.686353,-0.603456,DOWN
0.621678,-1.007918,0.497752,-0.415888,-0.052098,0.420987,0.621678,-0.621678,-1.007918,1.007918,-0.030847,1.386687,-0.032372,1.412666,2.989543,2.990173,2.971142,2.080447,0.616328,-1.160547,0.008936,0.192217,-0.543403,1.686353,-0.603456,DOWN
0.621678,-0.926981,0.497752,-0.415888,-0.052098,0.358972,0.621678,-0.621678,-0.926981,0.926981,-0.030847,1.386687,-0.032372,1.412666,2.989543,2.990173,2.971142,2.080447,0.616328,-1.078938,0.008936,0.192217,-0.543403,1.686353,-0.603456,DOWN
0.621678,-0.846044,0.497752,-0.415888,-0.052098,0.296957,0.621678,-0.621678,-0.846044,0.846044,-0.030847,1.386687,-0.032372,1.412666,2.989543,2.990173,2.971142,2.080447,0.616328,-0.997328,0.008936,0.192217,-0.543403,1.686353,-0.603456,DOWN
0.621678,-0.765106,0.497752,-0.415888,-0.052098,0.234942,0.621678,-0.621678,-0.765106,0.765106,-0.030847,1.386687,-0.032372,1.412666,2.989543,2.990173,2.971142,2.080447,0.616328,-0.915719,0.008936,0.192217,-0.543403,1.686353,-0.603456,DOWN
0.621678,-0.684169,0.497752,-0.415888,-0.052098,0.172927,0.621678,-0.621678,-0.684169,0.684169,-0.030847,1.386687,-0.032372,1.412666,2.989543,2.990173,2.971142,2.080447,0.616328,-0.83411,0.008936,0.192217,-0.543403,1.686353,-0.603456,DOWN
0.621678,-0.603232,0.497752,-0.415888,-0.052098,0.110912,0.621678,-0.621678,-0.603232,0.603232,-0.030847,1.386687,-0.032372,1.412666,2.989543,2.990173,2.971142,2.080447,0.616328,-0.752501,0.008936,0.192217,-0.543403,1.686353,-0.603456,DOWN
0.621678,-0.522294,0.497752,-0.415888,-0.052098,0.048897,0.621678,-0.621678,-0.522294,0.522294,-0.030847,1.386687,-0.032372,1.412666,2.989543,2.990173,2.971142,2.080447,0.616328,-0.670892,0.008936,0.192217,-0.543403,1.686353,-0.603456,DOWN
0.621678,-0.441357,0.497752,-0.415888,-0.052098,-0.013118,0.621678,-0.621678,-0.441357,0.441357,-0.030847,1.386687,-0.032372,1.412666,2.989543,2.990173,2.971142,2.080447,0.616328,-0.589283,0.008936,0.192217,-0.543403,1.686353,-0.603456,DOWN
0.621678,-0.36042,1.004422,-1.443749,0.630088,-0.943344,0.621678,-0.621678,-0.36042,0.36042,-0.030847,1.386687,-0.032372,1.412666,2.989543,2.990173,2.971142,2.080447,0.616328,-0.589283,0.008936,0.300954,-0.543403,1.686353,-0.603456,RIGHT
0.70556,-0.36042,1.004422,-1.443749,0.532633,-0.943344,0.70556,-0.70556,-0.36042,0.36042,1.36747,-0.046071,0.678754,0.68276,2.989543,2.990173,2.971142,2.080447,0.616328,-0.507673,0.118562,0.192217,-0.543403,-0.59294,1.656968,RIGHT
0.789441,-0.36042,1.004422,-1.443749,0.435178,-0.943344,0.789441,-0.789441,-0.36042,0.36042,1.36747,-0.046071,1.38988,-0.047146,2.989543,2.990173,2.971142,2.080447,0.616328,-0.426064,0.228189,0.083479,-0.543403,-0.59294,1.656968,RIGHT
0.873323,-0.36042,1.004422,-1.443749,0.337722,-0.943344,0.873323,-0.873323,-0.36042,0.36042,1.36747,-0.046071,1.38988,-0.047146,2.989543,2.990173,2.971142,2.080447,0.616328,-0.344455,0.337816,-0.025258,-0.543403,-0.59294,1.656968,RIGHT
