@relation snake_game-weka.filters.unsupervised.attribute.Remove-R19-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement-weka.filters.unsupervised.attribute.Standardize

@attribute Head_x numeric
@attribute Head_y numeric
@attribute Food_x numeric
@attribute Food_y numeric
@attribute Dist_Food_x numeric
@attribute Dist_Food_y numeric
@attribute Dist_left_border numeric
@attribute Dist_right_border numeric
@attribute Dist_top_border numeric
@attribute Dist_bottom_border numeric
@attribute Dist_body_x1 numeric
@attribute Dist_body_y1 numeric
@attribute Dist_body_x2 numeric
@attribute Dist_body_y2 numeric
@attribute Prev_UP numeric
@attribute Prev_DOWN numeric
@attribute Prev_RIGHT numeric
@attribute direction {UP,DOWN,LEFT,RIGHT}

@data
0.530385,0.959148,0.429374,0.738934,-0.021125,-0.076476,0.530385,-0.530385,0.959148,-0.959148,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
-0.139269,-0.560529,-0.133938,-1.271473,-0.021125,-0.650272,-0.139269,0.139269,-0.560529,0.560529,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
1.451158,-1.360359,1.203928,-1.410122,-0.021125,-0.191235,1.451158,-1.451158,-1.360359,1.360359,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
0.530385,1.439046,0.429374,1.154881,-0.021125,-0.076476,0.530385,-0.530385,1.439046,-1.439046,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
-1.143749,-0.000648,-0.978906,-0.855527,-0.021125,-0.707651,-1.143749,1.143749,-0.000648,0.000648,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
-0.557802,-1.440342,-0.486008,-1.479446,-0.021125,-0.191235,-0.557802,0.557802,-1.440342,1.440342,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
-0.055562,-0.720495,-0.063524,-1.410122,-0.021125,-0.650272,-0.055562,0.055562,-0.720495,0.720495,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
-0.222975,-1.12041,-0.204352,-1.548771,-0.021125,-0.478133,-0.222975,0.222975,-1.12041,1.12041,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
-0.474095,-1.040427,-0.415594,-0.994175,-0.021125,-0.076476,-0.474095,0.474095,-1.040427,1.040427,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
-0.055562,0.559233,-0.063524,-0.508905,-0.021125,-0.82241,-0.055562,0.055562,0.559233,-0.559233,-0.02609,-1.471747,-0.028521,-1.497021,1.827702,-0.573413,-0.608917,UP
