@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureOutOfBagError numeric

@data

snake_game-weka.filters.unsupervised.attribute.Remove-R31-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement,2,10,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20250328.1758,8688,965,877,88,0,90.880829,9.119171,0,0.878356,0.056881,0.189042,15.173786,43.665548,1929.222008,7828.442904,-5899.220896,1.999194,8.112376,-6.113182,1687.296782,1.748494,87.459959,0.883117,204,0.024523,18,0.975477,716,0.116883,27,0.918919,0.883117,0.900662,0.870504,0.985114,0.949039,0.908808,0.030552,0.969448,0.091192,0.909003,0.908808,0.908725,0.87839,0.985328,0.959398,0.908793,0.908808,1.842,0.035,1.78125,0.046875,1781.25,46.875,8793674,2339830,262343,97.61658,31.295337,?,-1
snake_game-weka.filters.unsupervised.attribute.Remove-R31-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement,3,1,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20250328.1758,8687,966,900,66,0,93.167702,6.832298,0,0.908879,0.045067,0.157482,12.022279,36.37546,1931.249555,2376.381896,-445.132341,1.999223,2.460023,-0.4608,1745.203692,1.806629,90.366555,0.922078,213,0.028571,21,0.971429,714,0.077922,18,0.910256,0.922078,0.916129,0.889578,0.990238,0.974277,0.931677,0.02272,0.97728,0.068323,0.931711,0.931677,0.931641,0.908908,0.993548,0.982791,0.931576,0.931677,1.92,0.039,1.8125,0.046875,1812.5,46.875,9090098,2339561,262612,98.964803,31.030021,?,-1
snake_game-weka.filters.unsupervised.attribute.Remove-R31-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement,3,2,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20250328.1758,8687,966,898,68,0,92.960663,7.039337,0,0.90611,0.047391,0.164362,12.64224,37.964502,1931.249555,3468.188216,-1536.938661,1.999223,3.590257,-1.591034,1735.505256,1.796589,89.864371,0.935065,216,0.02585,19,0.97415,716,0.064935,15,0.919149,0.935065,0.927039,0.903906,0.993115,0.972953,0.929607,0.023388,0.976612,0.070393,0.929626,0.929607,0.929566,0.906217,0.991629,0.975838,0.929324,0.929607,2.171,0.034,2.015625,0.046875,2015.625,46.875,8993908,2339561,262612,98.550725,30.952381,?,-1
snake_game-weka.filters.unsupervised.attribute.Remove-R31-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement,3,3,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20250328.1758,8687,966,893,73,0,92.443064,7.556936,0,0.899213,0.050336,0.172987,13.427892,39.956716,1931.249555,4569.712945,-2638.46339,1.999223,4.730552,-2.731329,1722.025858,1.782635,89.166408,0.939394,217,0.028571,21,0.971429,714,0.060606,14,0.911765,0.939394,0.925373,0.901632,0.990246,0.975258,0.924431,0.025259,0.974741,0.075569,0.92466,0.924431,0.924458,0.899222,0.989651,0.970728,0.92463,0.924431,2.016,0.069,1.90625,0.0625,1906.25,62.5,8988994,2339561,262612,98.240166,31.15942,?,-1
snake_game-weka.filters.unsupervised.attribute.Remove-R31-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement,3,4,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20250328.1759,8688,965,893,72,0,92.53886,7.46114,0,0.900474,0.049834,0.169625,13.293758,39.17962,1929.304852,8826.203753,-6896.898901,1.99928,9.146325,-7.147045,1722.941402,1.785432,89.303741,0.922078,213,0.02861,21,0.97139,713,0.077922,18,0.910256,0.922078,0.916129,0.889541,0.976978,0.943151,0.925389,0.024836,0.975164,0.074611,0.925541,0.925389,0.925255,0.900689,0.987479,0.964673,0.924898,0.925389,1.893,0.034,1.8125,0.03125,1812.5,31.25,8945076,2339830,262343,98.134715,31.062176,?,-1
snake_game-weka.filters.unsupervised.attribute.Remove-R31-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement,3,5,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20250328.1759,8688,965,878,87,0,90.984456,9.015544,0,0.879764,0.05443,0.181199,14.519747,41.853155,1929.304852,5657.790541,-3728.485689,1.99928,5.862995,-3.863716,1700.062939,1.761723,88.117901,0.904762,209,0.035422,26,0.964578,708,0.095238,22,0.889362,0.904762,0.896996,0.864267,0.986821,0.948377,0.909845,0.029948,0.970052,0.090155,0.910075,0.909845,0.909844,0.87994,0.988288,0.968002,0.909645,0.909845,1.992,0.039,1.859375,0.046875,1859.375,46.875,8915451,2339830,262343,98.134715,31.632124,?,-1
snake_game-weka.filters.unsupervised.attribute.Remove-R31-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement,3,6,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20250328.1759,8688,965,884,81,0,91.606218,8.393782,0,0.88808,0.057,0.183925,15.205305,42.482807,1929.304852,5666.827426,-3737.522574,1.99928,5.87236,-3.87308,1691.576656,1.752929,87.678039,0.935065,216,0.038147,28,0.961853,706,0.064935,15,0.885246,0.935065,0.909474,0.88053,0.983138,0.943575,0.916062,0.027679,0.972321,0.083938,0.916795,0.916062,0.916156,0.888513,0.987221,0.96385,0.915873,0.916062,2.059,0.035,1.890625,0.03125,1890.625,31.25,8859720,2339830,262343,98.238342,31.943005,?,-1
snake_game-weka.filters.unsupervised.attribute.Remove-R31-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement,3,7,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20250328.1759,8688,965,889,76,0,92.124352,7.875648,0,0.894929,0.053637,0.179103,14.308636,41.370009,1929.185764,2452.5649,-523.379136,1.999156,2.541518,-0.542362,1704.272218,1.766085,88.34153,0.908696,209,0.016327,12,0.983673,723,0.091304,21,0.945701,0.908696,0.926829,0.904835,0.99079,0.974351,0.921244,0.026481,0.973519,0.078756,0.921816,0.921244,0.921195,0.895148,0.98948,0.969595,0.921268,0.921244,2.064,0.034,1.890625,0.03125,1890.625,31.25,8835171,2339830,262343,98.341969,31.683938,?,-1
snake_game-weka.filters.unsupervised.attribute.Remove-R31-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement,3,8,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20250328.1759,8688,965,870,95,0,90.15544,9.84456,0,0.868686,0.060368,0.194138,16.104336,44.843616,1929.124594,9974.159914,-8045.035319,1.999093,10.335917,-8.336824,1672.48109,1.733141,86.696375,0.882609,203,0.027211,20,0.972789,715,0.117391,27,0.910314,0.882609,0.896247,0.864612,0.983724,0.957299,0.901554,0.032934,0.967066,0.098446,0.90167,0.901554,0.901422,0.868658,0.983546,0.955435,0.901548,0.901554,2.07,0.039,2,0.046875,2000,46.875,8631370,2339830,262343,97.823834,31.761658,?,-1
snake_game-weka.filters.unsupervised.attribute.Remove-R31-weka.filters.supervised.instance.Resample-B0.0-S1-Z80.0-no-replacement,3,9,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20250328.1759,8688,965,896,69,0,92.849741,7.150259,0,0.904622,0.05014,0.169979,13.375544,39.262235,1929.222008,2418.441823,-489.219816,1.999194,2.506157,-0.506964,1722.354283,1.784823,89.277143,0.917749,212,0.016349,12,0.983651,722,0.082251,19,0.946429,0.917749,0.931868,0.911042,0.993235,0.967416,0.928497,0.023982,0.976018,0.071503,0.928674,0.928497,0.928482,0.904627,0.991311,0.974176,0.928621,0.928497,1.907,0.034,1.828125,0.03125,1828.125,31.25,8885377,2339830,262343,98.549223,31.450777,?,-1
